LGA,LGA Code,Population,Residential Energy,Residential Customers,Residential Controlled Load Energy,Residential Controlled Load Customers,Small Business Energy,Small Business Customers,Large Business Energy,Large Business Customers
ASHFIELD,10150,42541,89035045,18254,5081171,2479,28213504,1295,56316829,106
AUBURN,10200,76519,125462219,24691,13088216,4892,108537646,3565,457831699,569
BANKSTOWN,10350,186108,385429378,63708,79724146,28822,151186463,6905,525137575,569
BOTANY BAY,11100,39664,77660319,16099,8031639,3348,68431962,2618,191530351,287
BURWOOD,11300,33678,69785249,12311,5926743,2603,41230601,1712,109863750,101
CANADA BAY,11520,75999,182989677,32114,14164441,6277,64224246,2733,160521923,233
CANTERBURY,11550,143111,281479588,53696,29003030,12487,82018686,4243,134711038,218
CESSNOCK,11720,50834,137514290,20667,27834676,10999,47324321,1927,68639708,141
GOSFORD,13100,166626,429008418,75782,111815099,46444,131430818,6817,316176898,467
HORNSBY,14000,162216,394868293,55808,70806774,24934,95451363,4770,207789823,334
HUNTERS HILL,14100,14467,43900908,5218,4373798,1599,9491631,446,17642958,28
HURSTVILLE,14150,79648,168673496,30875,32367461,12921,62083220,3544,97989742,171
KOGARAH,14450,58137,127564125,22017,21967270,8695,33436125,1886,86483018,89
KU-RING-GAI,14500,111400,361550259,39297,49225289,17220,58831321,2672,113291110,186
LAKE MACQUARIE,14650,199277,461240698,77642,128447231,54965,124159227,6550,226287136,409
LANE COVE,14700,32501,92236008,13651,7229855,2929,36591585,1454,90188776,165
LEICHHARDT,14800,54525,127978225,25111,6952839,3498,65559195,3091,70383966,163
MAITLAND,15050,69154,171138896,25771,34633532,13570,60520861,2816,104021467,198
MANLY,15150,40939,106527913,19024,12232298,5292,38769112,1913,52548989,103
MARRICKVILLE,15200,78271,168575948,35975,9481765,4290,91262357,4305,127806381,261
MOSMAN,15350,28767,97716815,13689,6447549,2296,25648633,1253,22295053,60
MUSWELLBROOK,15650,16391,45678286,6361,12280116,4542,32971827,1536,34792111,88
NEWCASTLE,15900,154777,332271347,66500,71427410,32297,178076426,8250,321980196,588
NORTH SYDNEY,15950,63914,180094857,36758,8104205,3183,166565665,6580,286809757,500
PITTWATER,16370,58818,164379108,24019,24017828,9484,52791328,2942,64396061,119
PORT STEPHENS,16400,66754,171775171,30647,54725268,23672,56696810,3131,103843954,201
RANDWICK,16550,131714,295105637,58055,28937865,11910,78701236,3493,211891315,289
ROCKDALE,16650,102211,203093998,40529,31445195,13596,57546204,3021,97313676,183
RYDE,16700,104955,247167567,42705,30834433,12227,110475545,3937,471679746,603
SINGLETON,17000,23822,70452584,8970,17913478,6345,34186579,1944,49882593,112
STRATHFIELD,17100,36489,81799641,13199,6955620,2734,43566421,1608,137670061,174
SUTHERLAND SHIRE,17150,219828,571358829,84250,130222081,44920,152053734,7579,239770953,403
SYDNEY,17200,177920,417205976,94710,12520103,5278,796838573,28440,2816694762,3315
UPPER HUNTER SHIRE,17620,14043,37659679,5292,9799966,3603,26777224,1499,17874880,49
WARRINGAH,18000,144092,339818657,57157,52823006,21009,132966616,6419,235623264,389
WAVERLEY,18050,68316,174689988,32862,9492478,4059,69336973,3312,115411204,172
WILLOUGHBY,18250,69269,178618644,28553,13690609,5811,132806549,5124,340072161,441
WOOLLAHRA,18500,55228,208801575,27396,12812263,4635,62263380,3072,53094623,143
WYONG,18550,149382,361879683,64813,84750584,35789,102128492,5277,264779180,353
